Skill,Primary object,Related / used objects,Required params,Field / parameter help (what each field means),What the user can expect (help text)
create_contact,Contact,"Account, Contact",(none listed),"LastName (string, optional): REQUIRED. Contact LastName (org field API name). | FirstName (string, optional): Contact FirstName. | Email (string, optional): Contact Email. | Phone (string, optional): Contact Phone. | Title (string, optional): Contact Title. | AccountId (string, optional): Parent Account Id (org relationship field AccountId). Prefer over accountName when known. | accountName (string, optional): Optional. Parent Account Name when AccountId is unknown — skill resolves to AccountId.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contact. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_contract,Contract,Account,AccountId,"AccountId (string, REQUIRED): Parent Account Id (Contract.AccountId). Required. | Status (string, optional): Contract.Status picklist API value. | StartDate (string, optional): Contract.StartDate (yyyy-MM-dd). | ContractTerm (integer, optional): Contract.ContractTerm (months). | Description (string, optional): Contract.Description.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contract. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_cpq_quote,Quote,"Opportunity, Quote",OpportunityId,"OpportunityId (string, REQUIRED): Parent Opportunity Id (SBQQ__Quote__c.SBQQ__Opportunity2__c or equivalent). | Name (string, optional): Optional CPQ quote Name.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_event,Event,"Account, Contact, Lead, Opportunity",fields,"fields (object, REQUIRED): Map of Event field API names to values. MUST include ""Subject"" AND ""StartDateTime"" (ISO 8601, e.g. ""2026-05-31T14:30:00Z""). Provide EITHER ""EndDateTime"" OR ""DurationInMinutes"". May also include ""Description"", ""Location"", ""WhatId"" (record like Account/Opportunity), ""WhoId"" (Contact/Lead), ""IsAllDayEvent"" and custom fields.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Event. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_lead,Lead,Lead,fields,"fields (object, REQUIRED): Map of Lead field API names to values. MUST include ""LastName"" AND ""Company"". May include FirstName, Title, Email, Phone, MobilePhone, Status, LeadSource, Industry, Rating, AnnualRevenue, NumberOfEmployees and custom fields.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Lead. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_opportunity,Opportunity,"Account, Lead, Opportunity, Pricebook2 / PricebookEntry",fields,"fields (object, REQUIRED): Map of Opportunity field API names to values. MUST include ""Name"", ""StageName"", AND ""CloseDate"" (yyyy-MM-dd). May include AccountId, Amount, Probability, Type, LeadSource, NextStep, Description, Pricebook2Id and custom fields.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_order,Order,"Account, Opportunity, Order, Pricebook2 / PricebookEntry","AccountId, Status, EffectiveDate","AccountId (string, REQUIRED): Parent Account Id (Order.AccountId). | Status (string, REQUIRED): Order.Status picklist API value (e.g. Draft). | EffectiveDate (string, REQUIRED): Order.EffectiveDate (yyyy-MM-dd). | OpportunityId (string, optional): Optional Order.OpportunityId. | Pricebook2Id (string, optional): Optional Order.Pricebook2Id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Order. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_quote,Quote,"Opportunity, Quote","Name, OpportunityId","Name (string, REQUIRED): Quote.Name (required). | OpportunityId (string, REQUIRED): Parent Opportunity Id (Quote.OpportunityId). | ExpirationDate (string, optional): Optional Quote.ExpirationDate (yyyy-MM-dd). | Status (string, optional): Optional Quote.Status picklist API value.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_task,Task,"Account, Case, Contact, Lead, Opportunity",fields,"fields (object, REQUIRED): Map of Task field API names to values. MUST include ""Subject"". Set ""WhatId"" to the Account/Opportunity/Case Id OR ""WhoId"" to the Contact/Lead Id. May also include Description, Status, Priority, ActivityDate (yyyy-MM-dd), OwnerId and custom fields.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Task. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_work_order,Order,Account,(none listed),"AccountId (string, optional): Salesforce account id. | Name (string, optional): Record name (required for most objects).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Order. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_account_details,Account,"Account, User",(none listed),"Id (string, optional): Account Id (001…). Prefer when known (page context / prior skill). | Name (string, optional): Account Name for lookup when Id is unknown. Fuzzy match on Name. | userContextId (string, optional): Session / page context id when chatting on an Account record page.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Account. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_account_plan,Account,Account,Id,"Id (string, REQUIRED): Account Id (primary Id of Account whose plan to load).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Account. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_account_related_lists,Account,"Account, Case, Contact, Opportunity",Id,"Id (string, REQUIRED): ONLY the Salesforce Id of the Account whose related lists should be fetched. | related (array, optional): Optional. Which related lists to fetch. Allowed values: ""contacts"", ""opportunities"", ""cases"". If omitted, all three are returned.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Account. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_asset_details,Asset,Asset,Id,"Id (string, REQUIRED): Salesforce asset id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Asset. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_campaign_details,Campaign,Campaign,Id,"Id (string, REQUIRED): Campaign Id (primary Id of Campaign, prefix 701…).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Campaign. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_campaign_members,Campaign,Campaign,CampaignId,"CampaignId (string, REQUIRED): Campaign Id (CampaignMember.CampaignId relationship). Not the CampaignMember Id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Campaign. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_care_plan,CarePlan / CareTask,CarePlan / CareTask,Id,"Id (string, REQUIRED): Salesforce record id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: CarePlan / CareTask. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_case_details,Case,Case,Id,"Id (string, REQUIRED): Either the Salesforce Id of the Case (starts with ""500"") OR the human-readable CaseNumber (e.g. ""00001234"").",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_case_entitlements,Case,Case,CaseId,"CaseId (string, REQUIRED): Salesforce case id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_case_milestones,Case,Case,CaseId,"CaseId (string, REQUIRED): Salesforce case id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_case_team,Case,Case,CaseId,"CaseId (string, REQUIRED): Salesforce case id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_contact_details,Contact,Contact,Id,"Id (string, REQUIRED): ONLY the Salesforce Id of the Contact whose details should be fetched.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contact. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_contact_engagement_history,Contact,Contact,Id,"Id (string, REQUIRED): Contact Id (primary Id of Contact). | daysBack (integer, optional): How far back to look (default 90 days). | limit (integer, optional): Max items (default 50).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contact. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_contract_details,Contract,Contract,Id,"Id (string, REQUIRED): Contract Id (primary Id of Contract).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contract. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_cpq_quote_details,Quote,Quote,Id,"Id (string, REQUIRED): Salesforce cpq quote id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_financial_account,Account,Account,Id,"Id (string, REQUIRED): Salesforce record id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Account. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_knowledge_article,KnowledgeArticleVersion,KnowledgeArticleVersion,Id,"Id (string, REQUIRED): KnowledgeArticleVersion Id or KnowledgeArticleId (primary article identity).",As a user: ask the agent in plain language (or pass JSON params). Primary object: KnowledgeArticleVersion. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_lead_details,Lead,Lead,Id,"Id (string, REQUIRED): ONLY the Salesforce Id of the Lead whose details should be fetched.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Lead. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_my_open_opportunities,Opportunity,Opportunity,(none listed),"limit (integer, optional): Max rows (default 50).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_my_open_tasks,Task,Task,(none listed),"limit (integer, optional): Optional. Maximum number of tasks to return (1-200). Defaults to 25.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Task. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_opportunity_contact_roles,Contact,"Contact, Opportunity",OpportunityId,"OpportunityId (string, REQUIRED): Opportunity Id (OpportunityContactRole.OpportunityId). Not the contact-role Id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contact. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_opportunity_details,Opportunity,Opportunity,Id,"Id (string, REQUIRED): ONLY the Salesforce Id of the Opportunity whose details should be fetched.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_opportunity_partners,Opportunity,Opportunity,OpportunityId,"OpportunityId (string, REQUIRED): Salesforce opportunity id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_opportunity_team,Opportunity,Opportunity,OpportunityId,"OpportunityId (string, REQUIRED): Opportunity Id (OpportunityTeamMember.OpportunityId). Not the team-member Id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_order_details,Order,Order,Id,"Id (string, REQUIRED): Salesforce order id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Order. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_partner_account,Account,Account,Id,"Id (string, REQUIRED): Partner account Id (primary Id of the Account / partner record).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Account. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_picklist_values,Describe (any object),"Account, Opportunity","objectApiName, fieldApiName","objectApiName (string, REQUIRED): API name of the object the field lives on. Examples: ""Account"", ""Opportunity"", ""Custom_Object__c"". | fieldApiName (string, REQUIRED): API name of the picklist or multi-picklist field. Examples: ""Industry"", ""StageName"", ""Type__c"". | controllerValue (string, optional): Required ONLY for dependent picklists. The exact API value of the controlling field that the record will have AFTER the update. The skill returns only the dependent values valid for this controller value.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Describe (any object). Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_pricebook_entries,PricebookEntry,"Pricebook2 / PricebookEntry, Product2",(none listed),"Pricebook2Id (string, optional): Optional. Pricebook2 Id. Defaults to standard pricebook. | Id (string, optional): Optional. Filter entries to one Product2 Id. | limit (integer, optional): Optional. Max rows (1-200). Default 25.",As a user: ask the agent in plain language (or pass JSON params). Primary object: PricebookEntry. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_product_details,Product2,Product2,Id,"Id (string, REQUIRED): Salesforce Product2 Id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Product2. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_queue_cases,Case,Queue (Group),OwnerId,"OwnerId (string, REQUIRED): Salesforce queue id. | limit (integer, optional):",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_quote_details,Quote,Quote,Id,"Id (string, REQUIRED): Salesforce quote id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_record_approvals,ProcessInstance,ProcessInstance,Id,"Id (string, REQUIRED): Salesforce record id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: ProcessInstance. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_renewal_opportunities,Opportunity,"Account, Opportunity",(none listed),"AccountId (string, optional): Optional Account filter (Opportunity.AccountId).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_service_appointment,ServiceAppointment,ServiceAppointment,Id,"Id (string, REQUIRED): Salesforce record id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: ServiceAppointment. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_service_resource_availability,Multiple / generic,Multiple / generic,Id,"Id (string, REQUIRED): ServiceResource Id (primary Id of the resource whose availability to check). | StartDate (string, optional): Optional window start (yyyy-MM-dd). | EndDate (string, optional): Optional window end (yyyy-MM-dd).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Multiple / generic. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_session_context,Session context,User,(none listed),"Id (string, optional): Optional. Salesforce Id of the page-context or related record (15 or 18 characters). Pass when you have a confirmed record Id from the record page. If omitted, the skill resolves from the session record or userContextId when applicable.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Session context. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_stale_opportunities,Opportunity,Opportunity,(none listed),"daysStale (integer, optional): Days since last activity (default 30).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_subscription_details,Subscription (feature),Subscription (feature),Id,"Id (string, REQUIRED): Salesforce subscription id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Subscription (feature). Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_upcoming_renewals,Multiple / generic,Account,(none listed),"daysAhead (integer, optional): Days ahead to look (default 90). | AccountId (string, optional): Optional Account filter. | OwnerId (string, optional): Optional owner filter. | limit (integer, optional): Max rows (default 50).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Multiple / generic. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fetch_work_order_details,Order,Order,Id,"Id (string, REQUIRED): Salesforce work order id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Order. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fuzzy_search_accounts,Account,Account,searchTerm,"searchTerm (string, REQUIRED): The Account name (or partial name) to search for. Examples: ""Acme"", ""power grid"", ""United Health"".",As a user: ask the agent in plain language (or pass JSON params). Primary object: Account. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fuzzy_search_assets,Asset,Asset,searchTerm,"searchTerm (string, REQUIRED): Partial name or keyword to search.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Asset. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fuzzy_search_campaigns,Campaign,Campaign,searchTerm,"searchTerm (string, REQUIRED): Partial name or keyword to search.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Campaign. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fuzzy_search_cases,Case,Case,searchTerm,"searchTerm (string, REQUIRED): Case Subject partial text or CaseNumber (e.g. 00001234).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fuzzy_search_contacts,Contact,Contact,searchTerm,"searchTerm (string, REQUIRED): The Contact name OR email (or partial) to search for. Examples: ""John Smith"", ""john@acme.com"", ""Khan"".",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contact. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fuzzy_search_leads,Lead,Lead,searchTerm,"searchTerm (string, REQUIRED): Lead name, company name, or email to search for. Examples: ""Jane Doe"", ""Acme Industries"", ""jane@acme.com"".",As a user: ask the agent in plain language (or pass JSON params). Primary object: Lead. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fuzzy_search_opportunities,Opportunity,Opportunity,searchTerm,"searchTerm (string, REQUIRED): Opportunity Name (partial) OR Salesforce Opportunity Id (006…).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fuzzy_search_partners,Account (Partner),Account (Partner),searchTerm,"searchTerm (string, REQUIRED): Partial name or keyword to search.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Account (Partner). Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fuzzy_search_products,Product2,Product2,searchTerm,"searchTerm (string, REQUIRED): Product name or product code partial match.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Product2. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
fuzzy_search_quotes,Quote,Quote,searchTerm,"searchTerm (string, REQUIRED): Partial name or keyword to search.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
