Skill,Status,Primary object,Request (JSON),Response (summary),What happened,Next step / what needs to be done,HTTP,Elapsed (s)
assign_to_queue,pass,Group (Queue) / Case,"{ ""CaseNumber"": ""00001037"", ""record_id"": ""500QH00000VaKnyYAF"", ""Id"": ""500QH00000VaKnyYAF"", ""queue_id"": ""00GQH000006KGhu2AG"", ""QueueId"": ""00GQH000006KGhu2AG"" }","{ ""status"": ""Success"", ""message"": """", ""data"": { ""recordId"": ""500QH00000VaKnyYAF"", ""message"": ""✅ Assigned to Queue 00001037 OwnerId: 005QH00000Ahc4IYAR → 00GQH000006KGhu2AG 👉 View Record"", ""success"": true } }",Skill executed successfully (Apex business success).,—,200,0.34
calculate_cpq_quote,fail_missing_feature,Quote,"{ ""Id"": ""001QH00002FpgehYAB"" }",<div>⚠️ <b>Could not calculate CPQ quote</b><br/>Salesforce CPQ is not installed or SBQQ__Quote__c / SBQQ__QuoteLine__c are not accessible in this org.</div>,Feature / package not available in this org (expected N/A until enabled).,Install Salesforce CPQ (SteelBrick / SBQQ) and grant CPQ licenses and object permissions; re-run this skill after SBQQ__Quote__c is available.,200,1.47
clone_opportunity,pass,Opportunity,"{ ""Name"": ""E2E Skill Test Opp"", ""Id"": ""006QH00000Kz5M9YAJ"" }","<div>✅ <b>Opportunity Cloned</b><ul><li><b>Name:</b> E2E Skill Test Opp</li><li><b>Stage:</b> Prospecting</li><li><b>Cloned from:</b> E2E Skill Test Opp</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Opportunity/006QH00000Kz482YAB/view"" target=""_blank""><b>View Opportunity</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.49
close_case,pass,Case,"{ ""CaseNumber"": ""00001037"", ""Subject"": ""E2E Skill Test Case"", ""Status"": ""Closed"", ""Id"": ""001QH00002FpgehYAB"" }","<div>✅ <b>Case Closed</b><ul><li><b>Case #:</b> 00001037</li><li><b>Status:</b> Closed</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Case/500QH00000VaKnyYAF/view"" target=""_blank""><b>View Case</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.56
complete_task,pass,Task,"{ ""Id"": ""00TQH00000FPO9l2AH"" }","<div>✅ <b>Task Completed</b><ul><li><b>Subject:</b> E2E Skill Test Task</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Task/00TQH00000FPO9l2AH/view"" target=""_blank""><b>View Task</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.54
convert_lead,pass,Lead,"{ ""Id"": ""00QQH00000M9n1w2AB"" }","<div>✅ <b>Lead Converted</b><ul><li><b>Account Id:</b> 001QH00002Fpyq5YAB</li><li><b>Contact Id:</b> 003QH00000RYFBZYA5</li><li><b>Opportunity Id:</b> 006QH00000Kz7InYAJ</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Lead/00QQH00000M9n1w2AB/view"" target=""_blank""><b>View Lead</b></a></div>",Skill executed successfully (Apex business success).,—,200,1.52
create_account,pass,Account,"{ ""Name"": ""E2E Created Account 946362"" }","<div>✅ <b>Account Created</b><ul><li><b>Name:</b> E2E Created Account 946362</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Account/001QH00002FpaWHYAZ/view"" target=""_blank""><b>View Account</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.76
create_campaign,pass,Campaign,"{ ""Name"": ""E2E Created Campaign 6426"" }","<div>✅ <b>Campaign Created</b><ul><li><b>Name:</b> E2E Created Campaign 6426</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Campaign/701QH00002Fp3zWYAR/view"" target=""_blank""><b>View Campaign</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.88
create_care_task,pass,Task,"{ ""WhatId"": ""001QH00002FpgehYAB"", ""Subject"": ""E2E Subject"" }","<div>✅ <b>Care Task Created</b><ul><li><b>Subject:</b> E2E Subject</li><li><b>WhatId:</b> 001QH00002FpgehYAB</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Task/00TQH00000FPOBN2A5/view"" target=""_blank""><b>View Task</b></a></div>",Skill executed successfully (Apex business success).,—,200,1.24
create_case,pass,Case,"{ ""Subject"": ""E2E Created Case"", ""AccountName"": ""E2E Skill Test Account"", ""ContactName"": ""Rose E2EContact"", ""fields"": { ""Subject"": ""E2E Created Case"", ""Status"": ""New"", ""Origin"": ""Web"", ""AccountId"": ""E2E Skill Test Account"" } }","<div>✅ <b>Case Created</b><ul><li><b>Case #:</b> 00001038</li><li><b>Subject:</b> E2E Created Case</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Case/500QH00000VaSqLYAV/view"" target=""_blank""><b>View Case</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.73
create_contact,pass,Contact,"{ ""fields"": { ""FirstName"": ""E2E"", ""LastName"": ""CreatedContact6362"", ""AccountId"": ""001QH00002FpgehYAB"", ""Email"": ""e2e.created@example.com"" }, ""LastName"": ""CreatedContact6362"", ""AccountId"": ""001QH00002FpgehYAB"" }","<div>✅ <b>Contact Created</b><ul><li><b>Name:</b> E2E CreatedContact6362</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Contact/003QH00000RYF9xYAH/view"" target=""_blank""><b>View Contact</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.39
create_contract,pass,Contract,"{ ""AccountName"": ""E2E Skill Test Account"", ""AccountId"": ""001QH00002FpgehYAB"", ""Status"": ""Draft"", ""StartDate"": ""2026-08-05"", ""ContractTerm"": 12 }","{ ""status"": ""Success"", ""message"": """", ""data"": { ""recordId"": ""800QH00000VaT3FYAV"", ""message"": ""✅ Contract Created Contract #: Status: Draft Start Date: 2026-08-05 👉 View Contract"", ""success"": true } }",Skill executed successfully (Apex business success).,—,200,0.83
create_cpq_quote,fail_missing_feature,Quote,"{ ""OpportunityId"": ""006QH00000Kz5M9YAJ"" }",<div>⚠️ <b>Could not create CPQ quote</b><br/>Salesforce CPQ is not installed or SBQQ__Quote__c / SBQQ__QuoteLine__c are not accessible in this org.</div>,Feature / package not available in this org (expected N/A until enabled).,Install Salesforce CPQ (SteelBrick / SBQQ) and grant CPQ licenses and object permissions; re-run this skill after SBQQ__Quote__c is available.,200,0.72
create_event,pass,Event,"{ ""Subject"": ""E2E Created Event"", ""WhatId"": ""E2E Skill Test Account"", ""StartDateTime"": ""2026-08-06T10:00:00.000Z"", ""EndDateTime"": ""2026-08-06T11:00:00.000Z"", ""fields"": { ""Description"": ""E2E fixture field"" } }","<div>✅ <b>Event Created</b><ul><li><b>Subject:</b> E2E Created Event</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Event/00UQH0000076Qv32AE/view"" target=""_blank""><b>View Event</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.7
create_lead,pass,Lead,"{ ""LastName"": ""CreatedLead6427"", ""Company"": ""E2E Co"", ""fields"": { ""LastName"": ""CreatedLead"", ""Company"": ""E2E Co"" } }","<div>✅ <b>Lead Created</b><ul><li><b>Name:</b> CreatedLead6427</li><li><b>Company:</b> E2E Co</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Lead/00QQH00000MA2tV2AT/view"" target=""_blank""><b>View Lead</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.56
create_opportunity,pass,Opportunity,"{ ""Name"": ""E2E Created Opp 6361"", ""AccountId"": ""E2E Skill Test Account"", ""AccountName"": ""E2E Skill Test Account"", ""StageName"": ""Prospecting"", ""CloseDate"": ""2026-09-01"", ""fields"": { ""Name"": ""E2E Created Opp"", ""AccountId"": ""E2E Skill Test Account"", ""StageName"": ""Prospecting"", ""CloseDate"": ""2026-09-01"" } }","<div>✅ <b>Opportunity Created</b><ul><li><b>Name:</b> E2E Created Opp 6361</li><li><b>Stage:</b> Prospecting</li><li><b>Close Date:</b> 2026-09-01</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Opportunity/006QH00000Kz7HBYAZ/view"" target=""_blank""><b>View Opportunity</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.74
create_order,pass,Order,"{ ""AccountId"": ""001QH00002FpgehYAB"", ""EffectiveDate"": ""2026-08-05"", ""Status"": ""Draft"" }","<div>✅ <b>Order Created</b><ul><li><b>Status:</b> Draft</li><li><b>Effective Date:</b> 2026-08-05</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Order/801QH00002FpvKgYAJ/view"" target=""_blank""><b>View Order</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.38
create_quote,fail_missing_feature,Quote,"{ ""Name"": ""E2E Quote"", ""OpportunityId"": ""006QH00000Kz5M9YAJ"" }",<div>⚠️ <b>Could not create quote</b><br/>Quote is not creatable (enable Quotes).</div>,Feature / package not available in this org (expected N/A until enabled).,"Enable Salesforce Quotes in Setup, then create at least one Quote (and Quote Line if testing line skills) on the E2E Opportunity/Account and re-run.",200,1.29
create_task,pass,Task,"{ ""Subject"": ""E2E Created Task"", ""WhatId"": ""E2E Skill Test Account"", ""WhoId"": ""Rose E2EContact"", ""fields"": { ""Description"": ""E2E fixture field"" } }","<div>✅ <b>Task Created</b><ul><li><b>Subject:</b> E2E Created Task</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Task/00TQH00000FPMj42AH/view"" target=""_blank""><b>View Task</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.62
create_work_order,pass,Order,"{ ""Subject"": ""E2E Work Order"", ""AccountId"": ""E2E Skill Test Account"", ""AccountName"": ""E2E Skill Test Account"" }","<div>✅ <b>Work Order Created</b><ul><li><b>Subject:</b> E2E Work Order</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/WorkOrder/0WOQH000006HaLZ4A0/view"" target=""_blank""><b>View Work Order</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.49
fetch_account_plan,fail_missing_feature,Account,"{ ""Id"": ""001QH00002FpgehYAB"" }",Account Plan is not available in this org.,Feature / package not available in this org (expected N/A until enabled).,Enable Account Plans (or install the pack that provides Account Plan) and grant CRUD; create a sample Account Plan and re-run.,200,0.38
fetch_account_related_lists,pass,Account,"{ ""Name"": ""E2E Skill Test Account"", ""AccountName"": ""E2E Skill Test Account"", ""Id"": ""001QH00002FpgehYAB"" }","{ ""success"": true, ""cases"": [ { ""attributes"": { ""type"": ""Case"", ""url"": ""/services/data/v67.0/sobjects/Case/500QH00000VaKnyYAF"" }, ""Id"": ""500QH00000VaKnyYAF"", ""CaseNumber"": ""00001037"", ""Subject"": ""E2E Skill Test Case"", ""Status"": ""New"", ""Priority"": ""Medium"" } ], ""opportunities"": [ { ""attributes"": { ""type"": ""Opportunity"", ""url"": ""/services/data/v67.0/sobjects/Opportunity/006QH00000Kz5M9YAJ"" }, ""Id"": ""006QH00000Kz5M9YAJ"", ""Name"": ""E2E Skill Test Opp"", ""StageName"": ""Prospecting"", ""Amount"": 200.0, ""CloseDate"": ""2026-09-15"" }, { ""attributes"": { ""type"": ""Opportunity"", ""url"": ""/services/data/v67.0/sobjects/Opportunity/006QH00000Kz7HBYAZ"" }, ""Id"": ""006QH00000Kz7HBYAZ"", ""Name"": ""E2E Created Opp 6361"", ""StageName"": ""Prospecting"", ""CloseDate"": ""2026-09-01"" } ], ""contacts"": [ { ""attributes"": { ""type"": ""Contact"", ""url"": ""/services/data/v67.0/sobjects/Contact/003QH00000RY8OcYAL"" }, ""Id"": ""003QH00000RY8OcYAL"", ""Name"": ""Sam E2EContactB"", ""Email"": ""e2e.b@example.com"" }, { ""attributes"": { ""type"": ""Contact"", ""url"": ""/services/data/v67.0/sobjects/Contact/003QH00000RYF6jYAH"" }, ""Id"": ""003QH00000RYF6jYAH"", ""Name"": ""Rose E2EContact"", ""Email"": ""e2e.contact@example.com"", ""Phone"": ""555-0101"", ""Title"": ""E2E Title"" }, { ""attributes"": { ""type"": ""Contact"", ""url"": ""/services/data/v67.0/sobjects/Contact/003QH00000RYF9xYAH"" }, ""Id"": ""003QH00000RYF9xYAH"", ""Name"": ""E2E CreatedContact6362"", ""Email"": ""e2e.created@example.com"" } ], ""Name"": ""E2E Skill Test Account"", ""Id"": ""001QH00002FpgehYAB"" }",Skill executed successfully (Apex business success).,—,200,0.4
fetch_asset_details,pass,Asset,"{ ""Name"": ""E2E Skill Test Asset"", ""AssetName"": ""E2E Skill Test Asset"", ""Id"": ""001QH00002FpgehYAB"" }","{ ""success"": true, ""recordUrl"": ""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Asset/02iQH000002k8r3YAA/view"", ""Description"": ""E2E asset update"", ""ProductName"": ""GenWatt Diesel 200kW"", ""Product2Id"": ""01tQH00000Hh6GVYAZ"", ""ContactName"": ""Rose E2EContact"", ""ContactId"": ""003QH00000RYF6jYAH"", ""AccountName"": ""E2E Skill Test Account"", ""AccountId"": ""001QH00002FpgehYAB"", ""Price"": null, ""PurchaseDate"": null, ""InstallDate"": null, ""Status"": null, ""SerialNumber"": null, ""Name"": ""E2E Skill Test Asset"", ""Id"": ""02iQH000002k8r3YAA"" }",Skill executed successfully (Apex business success).,—,200,0.52
fetch_campaign_details,pass,Campaign,"{ ""Name"": ""E2E Skill Test Campaign"", ""CampaignName"": ""E2E Skill Test Campaign"", ""Id"": ""001QH00002FpgehYAB"" }","{ ""success"": true, ""recordUrl"": ""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Campaign/701QH00002FpwEqYAJ/view"", ""Owner"": ""Kalanithi Balasubramanian"", ""NumberOfResponses"": 0, ""NumberOfLeads"": 0, ""NumberOfContacts"": 1, ""Description"": ""E2E campaign update"", ""EndDate"": null, ""StartDate"": null, ""IsActive"": true, ""Status"": ""Planned"", ""Type"": ""Conference"", ""Name"": ""E2E Skill Test Campaign"", ""Id"": ""701QH00002FpwEqYAJ"" }",Skill executed successfully (Apex business success).,—,200,0.5
fetch_campaign_members,pass,Campaign,"{ ""CampaignId"": ""E2E Skill Test Campaign"", ""CampaignName"": ""E2E Skill Test Campaign"" }","{ ""success"": true, ""members"": [ { ""recordUrl"": ""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/CampaignMember/00vQH00000IZCFFYA5/view"", ""LeadCompany"": null, ""LeadName"": null, ""LeadId"": null, ""ContactName"": ""Sam E2EContactB"", ""ContactId"": ""003QH00000RY8OcYAL"", ""Status"": ""Sent"", ""CampaignId"": ""701QH00002FpwEqYAJ"", ""Id"": ""00vQH00000IZCFFYA5"" } ], ""count"": 1, ""CampaignId"": ""701QH00002FpwEqYAJ"" }",Skill executed successfully (Apex business success).,—,200,0.8
fetch_care_plan,fail_missing_feature,CarePlan / CareTask,"{ ""Id"": ""001QH00002FpgehYAB"" }",Care Plan object is not available in this org.,Feature / package not available in this org (expected N/A until enabled).,"Enable Care Plans / Health Cloud (or the Care Plan object pack) in Setup, assign permissions, create a sample Care Plan, then re-run.",200,0.42
fetch_case_details,pass,Case,"{ ""CaseNumber"": ""00001037"", ""Subject"": ""E2E Skill Test Case"", ""Id"": ""001QH00002FpgehYAB"" }","{ ""success"": true, ""recordUrl"": ""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Case/500QH00000VaKnyYAF/view"", ""IsClosed"": true, ""Contact"": ""Rose E2EContact"", ""Account"": ""E2E Skill Test Account"", ""Reason"": null, ""Origin"": ""Web"", ""Type"": null, ""Priority"": ""Medium"", ""Status"": ""Closed"", ""Description"": ""E2E_SKILL_TEST"", ""Subject"": ""E2E Skill Test Case"", ""CaseNumber"": ""00001037"", ""Id"": ""500QH00000VaKnyYAF"" }",Skill executed successfully (Apex business success).,—,200,0.73
fetch_case_entitlements,pass,Case,"{ ""case_id"": ""500QH00000VaKnyYAF"", ""CaseId"": ""500QH00000VaKnyYAF"", ""Id"": ""500QH00000VaKnyYAF"" }","{ ""success"": true, ""entityMilestonesStatus"": ""unavailable"", ""caseNumber"": ""00001037"", ""caseId"": ""500QH00000VaKnyYAF"" }",Skill executed successfully (Apex business success).,—,200,0.42
fetch_case_milestones,pass,Case,"{ ""CaseNumber"": ""00001037"", ""Subject"": ""E2E Skill Test Case"", ""CaseId"": ""500QH00000VaKnyYAF"", ""Id"": ""500QH00000VaKnyYAF"" }","{ ""success"": true, ""milestones"": [], ""count"": 0, ""caseNumber"": ""00001037"", ""caseId"": ""500QH00000VaKnyYAF"" }",Skill executed successfully (Apex business success).,—,200,0.43
fetch_case_team,pass,Case,"{ ""CaseNumber"": ""00001037"", ""Subject"": ""E2E Skill Test Case"", ""CaseId"": ""500QH00000VaKnyYAF"", ""Id"": ""500QH00000VaKnyYAF"" }","{ ""success"": true, ""teamMembers"": [], ""count"": 0, ""caseId"": ""500QH00000VaKnyYAF"" }",Skill executed successfully (Apex business success).,—,200,0.36
fetch_contact_details,pass,Contact,"{ ""Name"": ""Rose E2EContact"", ""ContactName"": ""Rose E2EContact"", ""Id"": ""001QH00002FpgehYAB"" }","{ ""success"": true, ""recordUrl"": ""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Contact/003QH00000RYF6jYAH/view"", ""MailingAddress"": """", ""Owner"": ""Kalanithi Balasubramanian"", ""OwnerId"": ""005QH00000Ahc4IYAR"", ""Account"": ""E2E Skill Test Account"", ""AccountId"": ""001QH00002FpgehYAB"", ""Department"": null, ""Title"": ""E2E Title"", ""MobilePhone"": null, ""Phone"": ""555-0101"", ""Email"": ""e2e.contact@example.com"", ""LastName"": ""E2EContact"", ""FirstName"": ""Rose"", ""Name"": ""Rose E2EContact"", ""Id"": ""003QH00000RYF6jYAH"" }",Skill executed successfully (Apex business success).,—,200,0.6
fetch_contact_engagement_history,pass,Contact,"{ ""Id"": ""003QH00000RYF6jYAH"" }","{ ""success"": true, ""engagement"": [], ""displayed"": 0, ""totalFound"": 0, ""daysBack"": 90, ""contactName"": ""Rose E2EContact"", ""contactId"": ""003QH00000RYF6jYAH"" }",Skill executed successfully (Apex business success).,—,200,0.65
fetch_contract_details,pass,Contract,"{ ""Id"": ""800QH00000VaNJCYA3"" }","{ ""success"": true, ""recordUrl"": ""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Contract/800QH00000VaNJCYA3/view"", ""SpecialTerms"": null, ""CompanySignedDate"": null, ""CustomerSignedDate"": null, ""Description"": null, ""Owner"": ""Kalanithi Balasubramanian"", ""ContractTerm"": 12, ""EndDate"": ""2027-08-04"", ""StartDate"": ""2026-08-05"", ""Status"": ""Draft"", ""Account"": ""E2E Skill Test Account"", ""AccountId"": ""001QH00002FpgehYAB"", ""ContractNumber"": ""00000107"", ""Id"": ""800QH00000VaNJCYA3"" }",Skill executed successfully (Apex business success).,—,200,0.8
fetch_cpq_quote_details,fail_missing_feature,Quote,"{ ""Id"": ""001QH00002FpgehYAB"" }",Salesforce CPQ is not installed or SBQQ__Quote__c / SBQQ__QuoteLine__c are not accessible in this org.,Feature / package not available in this org (expected N/A until enabled).,Install Salesforce CPQ (SteelBrick / SBQQ) and grant CPQ licenses and object permissions; re-run this skill after SBQQ__Quote__c is available.,200,0.77
fetch_financial_account,fail_missing_feature,Account,"{ ""Id"": ""001QH00002FpgehYAB"" }",Financial Account object (FinServ__FinancialAccount__c) is not available in this org.,Feature / package not available in this org (expected N/A until enabled).,Install Financial Services Cloud (or enable FinServ pack) so FinServ__FinancialAccount__c exists; assign FSC permissions and re-run.,200,0.4
fetch_knowledge_article,fail_missing_feature,KnowledgeArticleVersion,"{ ""Id"": ""001QH00002FpgehYAB"" }",Knowledge is not enabled in this org.,Feature / package not available in this org (expected N/A until enabled).,"Enable Lightning Knowledge (Setup → Knowledge Settings), create a published article, assign Knowledge user permissions, then re-run.",200,0.76
fetch_lead_details,pass,Lead,"{ ""Name"": ""E2E E2ELead"", ""LeadName"": ""E2E E2ELead"", ""Id"": ""00QQH00000MA2rt2AD"" }","{ ""status"": ""Success"", ""message"": """", ""data"": { ""success"": true, ""recordUrl"": ""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Lead/00QQH00000MA2rt2AD/view"", ""Owner"": ""Kalanithi Balasubramanian"", ""ConvertedOpportunityId"": null, ""ConvertedContactId"": null, ""ConvertedAccountId"": null, ""IsConverted"": false, ""AnnualRevenue"": null, ""Industry"": null, ""LeadSource"": null, ""Status"": ""Open - Not Contacted"", ""Phone"": null, ""Email"": ""e2e.lead.open@example.com"", ""Title"": null, ""Company"": ""E2E Skill Test Account"", ""LastName"": ""E2ELeadOpen"", ""FirstName"": ""Open"", ""Name"": ""Open E2ELeadOpen"", ""Id"": ""00QQH00000MA2rt2AD"" } }",Skill executed successfully (Apex business success).,—,200,0.5
